Primitive 51: brush_idx=0, t=[256,171], theta=78.77806180213204, color=[0.6268201,0.72717303,0.8678746]
Primitive 52: brush_idx=0, t=[228,265], theta=103.60777343845525, color=[0.6266089,0.72335315,0.85070306]
Primitive 53: brush_idx=0, t=[401,405], theta=211.76575245481786, color=[0.24547313,0.43312266,0.638405]
Primitive 54: brush_idx=0, t=[185,575], theta=65.96841533501366, color=[0.6405378,0.7442776,0.9108276]
Primitive 55: brush_idx=0, t=[284,268], theta=72.1689292567485, color=[0.5962622,0.7110039,0.86888653]
Primitive 56: brush_idx=0, t=[179,149], theta=159.69164047687732, color=[0.6094769,0.71655965,0.8733508]
Primitive 57: brush_idx=0, t=[372,547], theta=114.0563523396422, color=[0.62269205,0.2879718,0.87924886]
Primitive 58: brush_idx=0, t=[5,269], theta=80.56710601376439, color=[0.65877503,0.8530092,0.91195744]
Primitive 59: brush_idx=0, t=[374,547], theta=107.60085386349063, color=[0.5039268,0.33303615,0.85893244]
Primitive 60: brush_idx=0, t=[401,73], theta=108.16647740547637, color=[0.7059835,0.9931291,0.9985277]
Primitive 61: brush_idx=0, t=[156,54], theta=30.29353042666155, color=[0.38466227,0.5642013,0.6891672]
Primitive 62: brush_idx=0, t=[87,158], theta=131.04840422455757, color=[0.3920397,0.54758847,0.68508244]
Primitive 63: brush_idx=0, t=[341,221], theta=103.27592443831955, color=[0.31909296,0.40755484,0.5543724]
Primitive 64: brush_idx=0, t=[21,107], theta=111.34706815663837, color=[0.7569437,0.9798033,0.9814046]
Primitive 65: brush_idx=0, t=[71,285], theta=90.19341035955925, color=[0.38879642,0.52847433,0.6618899]
Primitive 66: brush_idx=0, t=[296,550], theta=61.396876011072536, color=[0.5501575,0.71574444,0.86170626]
Primitive 67: brush_idx=0, t=[107,155], theta=70.9445537759235, color=[0.41517034,0.5427147,0.69670045]
Primitive 68: brush_idx=0, t=[301,227], theta=149.12223613280483, color=[0.570659,0.6731291,0.81747204]
Primitive 69: brush_idx=0, t=[118,259], theta=112.04029960471829, color=[0.369693,0.43638727,0.57721084]
Primitive 70: brush_idx=0, t=[136,406], theta=129.7754200742504, color=[0.25611287,0.36648485,0.54752666]
Primitive 71: brush_idx=0, t=[401,563], theta=95.09091591677722, color=[0.65331846,0.2580859,0.9110804]
Primitive 72: brush_idx=0, t=[66,169], theta=152.35989408439238, color=[0.56875604,0.7161569,0.79840016]
Primitive 73: brush_idx=0, t=[48,83], theta=93.182675795514, color=[0.82119906,0.96808463,0.97524023]
Primitive 74: brush_idx=0, t=[312,91], theta=185.67186779453593, color=[0.4420743,0.5871537,0.73888415]
Primitive 75: brush_idx=0, t=[311,221], theta=29.54075552213993, color=[0.47622663,0.5782154,0.75586855]
Primitive 76: brush_idx=0, t=[369,182], theta=102.07916043940895, color=[0.33703694,0.45661816,0.5890893]
Primitive 77: brush_idx=0, t=[6,213], theta=11.029142119689595, color=[0.8378922,0.9465427,0.95548254]
Primitive 78: brush_idx=0, t=[381,329], theta=74.79297362993245, color=[0.34677172,0.49422878,0.65305847]
Primitive 79: brush_idx=0, t=[392,458], theta=137.62537198682577, color=[0.20409308,0.27357543,0.56938964]
Primitive 80: brush_idx=0, t=[19,549], theta=120.7974466237824, color=[0.4311664,0.62760603,0.7965786]
Primitive 81: brush_idx=0, t=[401,434], theta=110.52652145670774, color=[0.23999912,0.37930614,0.6153274]
Primitive 82: brush_idx=0, t=[375,222], theta=70.54589743296343, color=[0.29813302,0.39885026,0.5531305]
Primitive 83: brush_idx=0, t=[246,153], theta=97.88783261883472, color=[0.72411823,0.80679655,0.91223276]
Primitive 84: brush_idx=0, t=[26,478], theta=171.14358320612462, color=[0.45632708,0.64067477,0.7991109]
Primitive 85: brush_idx=0, t=[62,228], theta=92.83533308985135, color=[0.47497985,0.6413567,0.7626559]
Primitive 86: brush_idx=0, t=[10,156], theta=108.24727992188, color=[0.8551697,0.96000904,0.9657118]
Primitive 87: brush_idx=0, t=[256,53], theta=109.29945175901489, color=[0.3273454,0.5264326,0.6564675]
Primitive 88: brush_idx=0, t=[401,238], theta=158.59035385933998, color=[0.4793517,0.67658454,0.7858182]
Primitive 89: brush_idx=0, t=[347,203], theta=129.64451869738, color=[0.31212097,0.3808262,0.5537715]
Primitive 90: brush_idx=0, t=[31,384], theta=99.22983010912321, color=[0.4667358,0.6549413,0.79849684]
Primitive 91: brush_idx=0, t=[249,170], theta=78.36858961746324, color=[0.7366077,0.82806706,0.9442642]
Primitive 92: brush_idx=0, t=[267,166], theta=72.46310331474575, color=[0.61983806,0.7459948,0.8925305]
Primitive 93: brush_idx=0, t=[301,152], theta=183.50856633189812, color=[0.46158227,0.5848508,0.75406706]
Primitive 94: brush_idx=0, t=[220,154], theta=191.34060714654325, color=[0.70833695,0.79677546,0.91789365]
Primitive 95: brush_idx=0, t=[290,80], theta=192.84888522296225, color=[0.42018422,0.58532447,0.73185414]
Primitive 96: brush_idx=0, t=[246,382], theta=178.39323056014058, color=[0.530499,0.6208393,0.81256974]
Primitive 97: brush_idx=0, t=[11,180], theta=149.353508560659, color=[0.83731747,0.95275545,0.9558731]
Primitive 98: brush_idx=0, t=[191,505], theta=7.140898203754906, color=[0.53081524,0.6854393,0.8661771]
Primitive 99: brush_idx=0, t=[393,563], theta=60.04514733000474, color=[0.54542893,0.2840578,0.86860365]
Primitive 100: brush_idx=0, t=[43,44], theta=68.83475754153218, color=[0.79990697,0.9833987,0.9911716]
Primitive 101: brush_idx=0, t=[97,574], theta=130.7092447056746, color=[0.41884366,0.45400065,0.80518407]
Primitive 102: brush_idx=0, t=[250,152], theta=60.3058650710304, color=[0.69329256,0.78900325,0.91331655]
Primitive 103: brush_idx=0, t=[279,271], theta=169.45497322625175, color=[0.5754678,0.7102332,0.88225085]
Primitive 104: brush_idx=0, t=[252,61], theta=36.605365202145144, color=[0.4322014,0.5694793,0.7117103]
Primitive 105: brush_idx=0, t=[215,25], theta=130.63558533029453, color=[0.3158279,0.40703684,0.50430065]
Primitive 106: brush_idx=0, t=[234,541], theta=96.45153002091185, color=[0.6190228,0.71569896,0.9090916]
Primitive 107: brush_idx=0, t=[387,380], theta=19.53555457522662, color=[0.27473104,0.4253064,0.6197486]
Primitive 108: brush_idx=0, t=[254,376], theta=106.19666559000335, color=[0.58366054,0.6706728,0.85155123]
Primitive 109: brush_idx=0, t=[174,0], theta=68.20145378974914, color=[0.50681514,0.74267673,0.8609651]
Primitive 110: brush_idx=0, t=[304,550], theta=174.25389266538036, color=[0.56533754,0.6707809,0.86467725]
Primitive 111: brush_idx=0, t=[387,291], theta=59.750863200592455, color=[0.36976263,0.49763075,0.68291235]
Primitive 112: brush_idx=0, t=[125,123], theta=14.441225982633707, color=[0.37882832,0.5367395,0.7101004]
Primitive 113: brush_idx=0, t=[280,356], theta=143.30423800160193, color=[0.535114,0.63102305,0.82380867]
Primitive 114: brush_idx=0, t=[0,220], theta=136.75959994324705, color=[0.87351906,0.97448766,0.97641563]
Primitive 115: brush_idx=0, t=[81,0], theta=124.2893846168955, color=[0.7955126,0.984972,0.9868469]
Primitive 116: brush_idx=0, t=[381,298], theta=97.42637960555851, color=[0.37954146,0.5327044,0.7044342]
